Wavelength,Intensity,Pixel
500.701,993.1666847089828,5.0
568.236,600.1414782927777,524.0
542.813,442.025563335309,325.0
604.761,367.57732844497923,819.0
525.489,347.46250869634696,192.0
518.117,336.9051969338898,136.0
525.751,322.05309691386447,194.0
529.942,299.5767416192284,226.0
518.381,283.5983702507374,138.0
525.226,274.7557047670866,190.0
504.977,257.268481409415,37.0
529.681,241.5556187875227,224.0
602.818,228.1532406189499,803.0
566.974,200.38808356631444,514.0
534.769,189.48233467237924,263.0
539.058,186.23707933212972,296.0
553.619,180.62157520907567,409.0
520.228,179.864795416559,152.0
549.643,173.67627907742371,378.0
568.993,171.6481926391507,530.0
567.353,170.49333045817275,517.0
550.286,168.87361372771193,383.0
571.513,167.29512205969695,550.0
566.594,161.67673769081557,511.0
531.771,159.09375417402907,240.0
524.701,158.47249909739548,186.0
571.261,153.11390524256376,548.0
534.379,152.2294414233006,260.0
